Address,Content,Pattern,Cycle
0x18ED46,0x75,0x55,1
0x1266BD,0x51,0x55,2
0x12F3F0,0x15,0x55,2
0x1366BC,0x51,0x55,2
0x1D67BC,0x51,0x55,2
0x0281D4,0x57,0x55,3
0x02AED0,0xD5,0x55,3
0x02D47C,0x15,0x55,3
0x03AFD1,0x15,0x55,3
0x040F87,0x51,0x55,3
0x050F86,0x51,0x55,3
0x0B80D4,0x57,0x55,3
0x0D0E86,0x51,0x55,3
0x0AE308,0x75,0x55,4
0x1BE1AB,0x45,0x55,4
0x1EDCA8,0x15,0x55,4
0x00DDC2,0x51,0x55,5
0x1356F6,0x45,0x55,6
0x14F6D8,0x57,0x55,6
0x166807,0x15,0x55,6
0x176806,0x15,0x55,6
0x095D10,0x54,0x55,7
0x1631CD,0x57,0x55,8
0x164760,0x75,0x55,9
0x08D639,0x57,0x55,10
0x09D638,0x57,0x55,10
0x119F72,0x57,0x55,10
0x00CF59,0x15,0x55,11
0x0C76E7,0x51,0x55,12
0x1DFF5E,0x57,0x55,13
0x05AA57,0x54,0x55,14
0x1A5B45,0xD5,0x55,14
0x1AE195,0x54,0x55,14
0x1B5B44,0xD5,0x55,15
0x025938,0x5D,0x55,16
0x16EC75,0x57,0x55,16
0x02CECC,0xD5,0x55,17
0x10B31C,0x45,0x55,17
0x0CC8A7,0x15,0x55,18
0x0DC8A6,0x15,0x55,18
0x1B3564,0xD5,0x55,18
0x02B650,0x75,0x55,19
0x0A41FC,0x5D,0x55,20
0x18158E,0xD5,0x55,21
0x0E815F,0x15,0x55,22
0x18149C,0x51,0x55,22
0x023440,0x51,0x55,23
0x033440,0x51,0x55,23
0x033541,0x57,0x55,23
0x145613,0x57,0x55,24
0x1A34B6,0x51,0x55,25
0x0493A5,0x54,0x55,26
0x0941DB,0x45,0x55,27
0x00EBF6,0x45,0x55,28
0x196561,0x54,0x55,28
0x15AA3D,0x75,0x55,29
0x0E272E,0x45,0x55,30
0x1C2ECC,0x51,0x55,30
0x1DCD11,0x45,0x55,30
0x1A37EB,0x5D,0x55,31
0x1E3FE0,0x54,0x55,31
0x085E71,0xD5,0x55,32
0x174EE9,0x45,0x55,33
0x0CCFB9,0x45,0x55,34
0x1188B7,0x75,0x55,35
0x162263,0x45,0x55,35
0x172262,0x45,0x55,35
0x0C98B1,0x54,0x55,36
0x0D98B0,0x54,0x55,36
0x0218CC,0x57,0x55,37
0x0499B1,0x54,0x55,37
0x0599B0,0x54,0x55,37
0x14A609,0x54,0x55,37
0x1EAAB0,0x45,0x55,38
0x13FB2B,0x51,0x55,39
0x1BFA2B,0x51,0x55,40
0x0096EE,0x45,0x55,41
0x0399DB,0x45,0x55,41
0x160675,0x5D,0x55,41
0x0C8049,0x57,0x55,42
0x0D8048,0x57,0x55,42
0x0738DC,0x75,0x55,43
0x080516,0x15,0x55,43
0x06D3DA,0x45,0x55,44
0x106BA8,0x15,0x55,44
0x1AABCE,0xD5,0x55,44
0x1C07E5,0x45,0x55,44
0x1BF22C,0x51,0x55,45
0x05BB6D,0x5D,0x55,46
0x16EA63,0x15,0x55,47
0x17EA62,0x15,0x55,47
0x0D103D,0x45,0x55,48
0x06CE2C,0x15,0x55,49
0x0EC5FD,0xD5,0x55,49
0x040F07,0x15,0x55,50
0x0C0E07,0x15,0x55,50
0x0D0E06,0x15,0x55,50
0x0642B7,0x75,0x55,51
0x0C8BEE,0x75,0x55,51
0x15AF42,0x54,0x55,51
0x020B39,0x45,0x55,52
0x057F27,0xD5,0x55,52
0x0A0A39,0x45,0x55,52
0x0B0A38,0x45,0x55,52
0x13B0E0,0xD5,0x55,52
0x12B2D5,0xD5,0x55,53
0x1885DB,0x45,0x55,53
0x18A436,0xD5,0x55,54
0x04F565,0x5D,0x55,55
0x14D796,0x5D,0x55,56
0x15D797,0x51,0x55,56
0x193246,0x51,0x55,56
0x0CC11D,0x45,0x55,57
0x1520CA,0x5D,0x55,58
0x027649,0x57,0x55,59
0x037648,0x57,0x55,59
0x037748,0x57,0x55,59
0x113486,0x5D,0x55,59
0x1EA2AA,0x54,0x55,60
0x061A0E,0x75,0x55,61
0x0DF2F6,0x75,0x55,61
0x0E4429,0x5D,0x55,61
0x142783,0x15,0x55,61
0x083B6F,0x54,0x55,62
0x1D2598,0x57,0x55,63
0x12AC28,0x57,0x55,64
0x13AC29,0x54,0x55,64
0x1DAD29,0x54,0x55,65
0x048A4E,0x51,0x55,66
0x1C0912,0x15,0x55,66
0x0EDD95,0x15,0x55,67
0x140BAB,0x57,0x55,67
0x1B62D7,0x57,0x55,68
0x1BF568,0x5D,0x55,68
0x0245C5,0x51,0x55,69
0x0345C4,0x51,0x55,69
0x0A44C5,0x51,0x55,69
0x0B44C4,0x51,0x55,69
0x12457D,0x45,0x55,69
0x12C3AF,0x75,0x55,69
0x13457C,0x45,0x55,69
0x1592E7,0x57,0x55,69
0x1AC3EE,0x75,0x55,69
0x02F814,0x51,0x55,70
0x0BE947,0x51,0x55,70
0x174137,0xD5,0x55,71
