WORD_ADDRESS, STORED_DATA, PATTERN,ROUND
0x000cd,0xf7,0xFF,1
0x0029d,0xdf,0xFF,1
0x002a9,0xfd,0xFF,1
0x002ad,0xfe,0xFF,1
0x002b3,0xef,0xFF,1
0x00307,0xfb,0xFF,1
0x00388,0x7f,0xFF,1
0x0044e,0xf7,0xFF,1
0x0048c,0xdf,0xFF,1
0x004fc,0xfb,0xFF,1
0x004fe,0xfb,0xFF,1
0x00715,0xfd,0xFF,1
0x0084e,0xf7,0xFF,1
0x008e4,0xdf,0xFF,1
0x00931,0xfe,0xFF,1
0x009e7,0xdf,0xFF,1
0x00beb,0xbf,0xFF,1
0x00c41,0xfe,0xFF,1
0x00c77,0xfd,0xFF,1
0x00c7b,0xf7,0xFF,1
0x00cd8,0xef,0xFF,1
0x00dd4,0xfe,0xFF,1
0x00df8,0xfd,0xFF,1
0x00e59,0xfd,0xFF,1
0x00eac,0xef,0xFF,1
0x00f87,0xf7,0xFF,1
0x0104f,0x7f,0xFF,1
0x010e3,0xdf,0xFF,1
0x01116,0xdf,0xFF,1
0x011c7,0xef,0xFF,1
0x0121c,0xfb,0xFF,1
0x0122b,0xbf,0xFF,1
0x01540,0xef,0xFF,1
0x015a2,0x7f,0xFF,1
0x0165a,0xef,0xFF,1
0x01688,0xf7,0xFF,1
0x016c1,0xdf,0xFF,1
0x016cf,0xf7,0xFF,1
0x01742,0xef,0xFF,1
0x017ff,0xfd,0xFF,1
0x01924,0xef,0xFF,1
0x019e8,0xfe,0xFF,1
0x01ae1,0x7f,0xFF,1
0x01b4a,0xf7,0xFF,1
0x01b9a,0xdf,0xFF,1
0x01bb0,0xdf,0xFF,1
0x01bb9,0xfe,0xFF,1
0x01c19,0xf7,0xFF,1
0x01c99,0xdf,0xFF,1
0x01d15,0xfb,0xFF,1
0x01dcf,0xbf,0xFF,1
0x01e16,0x7f,0xFF,1
0x01edb,0xfb,0xFF,1
0x01eea,0xf7,0xFF,1
0x01eec,0xfd,0xFF,1
0x01fe0,0xbf,0xFF,1
0x0215a,0xf7,0xFF,1
0x0218f,0xfb,0xFF,1
0x021a6,0xf7,0xFF,1
0x021ab,0xef,0xFF,1
0x021fc,0xfd,0xFF,1
0x02241,0xf7,0xFF,1
0x02260,0xfe,0xFF,1
