WORD_ADDRESS, STORED_DATA, PATTERN, round
0x0007e,0xd5,0x55,1
0x00080,0x75,0x55,1
0x00121,0x54,0x55,1
0x0016c,0x75,0x55,1
0x001c8,0x15,0x55,1
0x002af,0xd5,0x55,1
0x003d0,0x5d,0x55,1
0x0051b,0xd5,0x55,1
0x00595,0x57,0x55,1
0x005f9,0x5d,0x55,1
0x00697,0x51,0x55,1
0x006b9,0xd5,0x55,1
0x0070a,0x5d,0x55,1
0x00770,0x54,0x55,1
0x0079e,0x15,0x55,1
0x008c7,0x75,0x55,1
0x00b04,0x75,0x55,1
0x00b9f,0x5d,0x55,1
0x00bbb,0x54,0x55,1
0x00cd7,0x54,0x55,1
0x00cf4,0x45,0x55,1
0x00e1d,0x51,0x55,1
0x00f58,0x54,0x55,1
0x00f8c,0x54,0x55,1
0x00f9f,0x57,0x55,1
0x00fe3,0xd5,0x55,1
0x01064,0x15,0x55,1
0x0106c,0x57,0x55,1
0x010aa,0x57,0x55,1
0x011b9,0x57,0x55,1
0x0126a,0x5d,0x55,1
0x012fa,0x5d,0x55,1
0x01303,0x5d,0x55,1
0x01355,0x54,0x55,1
0x01439,0x51,0x55,1
0x01635,0x15,0x55,1
0x016f6,0x57,0x55,1
0x017f9,0x5d,0x55,1
0x019a2,0x45,0x55,1
0x01aa4,0x51,0x55,1
0x01b12,0x45,0x55,1
0x01ba1,0xd5,0x55,1
0x01c04,0x54,0x55,1
0x01e9b,0x15,0x55,1
0x01f1e,0x57,0x55,1
0x01f35,0x5d,0x55,1
0x01f4a,0xd5,0x55,1
0x01f6b,0x54,0x55,1
0x0213f,0x45,0x55,1
0x02152,0x5d,0x55,1
0x0220d,0x5d,0x55,1
0x0221b,0x45,0x55,1
0x0222a,0x5d,0x55,1
0x022ad,0x45,0x55,1
0x022d8,0x75,0x55,1
0x0233e,0x15,0x55,1
0x02359,0x45,0x55,1
0x0239e,0x57,0x55,1
0x023d5,0x15,0x55,1
0x02464,0x5d,0x55,1
0x02490,0x5d,0x55,1
0x024f4,0x45,0x55,1
0x024f7,0x54,0x55,1
0x0264b,0x57,0x55,1
0x0266a,0x15,0x55,1
0x026e3,0xd5,0x55,1
0x026fd,0x75,0x55,1
0x02735,0x5d,0x55,1
0x02771,0x51,0x55,1
0x028ee,0x57,0x55,1
0x02967,0x51,0x55,1
0x02977,0x15,0x55,1
0x0299b,0x51,0x55,1
0x02a03,0x15,0x55,1
0x02a60,0xd5,0x55,1
0x02b38,0x51,0x55,1
0x02d83,0x75,0x55,1
0x02d97,0x45,0x55,1
0x02dc3,0x75,0x55,1
0x02dfb,0x54,0x55,1
0x02eca,0xd5,0x55,1
0x02f2e,0x15,0x55,1
0x02f63,0x15,0x55,1
0x03077,0x5d,0x55,1
0x03190,0x51,0x55,1
0x032a3,0xd5,0x55,1
0x032c8,0x5d,0x55,1
0x032cf,0x54,0x55,1
0x032e1,0x51,0x55,1
0x03321,0x57,0x55,1
0x03347,0x51,0x55,1
0x03392,0x51,0x55,1
0x03482,0x45,0x55,1
0x034da,0x45,0x55,1
0x035ba,0x5d,0x55,1
0x035d8,0x45,0x55,1
0x03645,0x75,0x55,1
0x03749,0x45,0x55,1
0x037ee,0x51,0x55,1
0x038c3,0x51,0x55,1
0x03977,0x5d,0x55,1
0x03a9e,0x75,0x55,1
