WORD_ADDRESS, STORED_DATA, PATTERN
0x00602,0x00100000,0x00000000,1
0x00667,0x00080000,0x00000000,1
0x0163e,0x20000000,0x00000000,1
0x02765,0x00000020,0x00000000,1
0x027ca,0x00000040,0x00000000,1
0x02e80,0x00400242,0x00400042,1
0x0333c,0x08040002,0x08000002,1
0x03ee2,0x00000402,0x00000400,1
0x04077,0x00000400,0x00000000,1
0x040dc,0x00000200,0x00000000,1
0x05e1b,0x00800000,0x00000000,1
0x060ca,0x00004188,0x00004189,1
0x06aeb,0x00750033,0x00550033,1
0x06b13,0x01550033,0x00550033,1
0x06cb5,0x80000004,0x00000004,1
0x06de5,0xffff7fff,0xffffffff,1
0x06eba,0xffbfffff,0xffffffff,1
0x08248,0x00000084,0x00000080,1
0x09088,0x20000000,0x00000000,1
0x0959b,0x00008000,0x00000000,1
0x09c1f,0x00000800,0x00000000,1
0x0a1e4,0x00150033,0x00550033,1
0x0fe11,0x00000004,0x00000000,1
0x1017b,0x00002000,0x00000000,1
0x10e4c,0x40001000,0x00001000,1
0x110c3,0x00000002,0x00000000,1
0x110cf,0x00040000,0x00000000,1
0x11128,0x00000001,0x00000000,1
0x11134,0x00020000,0x00000000,1
0x13087,0x00480101,0x00480100,1
0x13681,0x504c86d0,0x504c8650,1
0x136e6,0x02a15860,0x02a15820,1
0x14b38,0x40000000,0x00000000,1
0x15913,0x6403f014,0x6403d014,1
0x1655d,0x00330255,0x00330055,1
0x1768c,0xffefffff,0xffffffff,1
0x176ee,0x00000001,0x00000000,1
0x18583,0x088a4d00,0x088a4900,1
0x187c4,0x00000010,0x00000000,1
0x1898e,0x00400202,0x00400200,1
0x189f3,0x00040005,0x00040004,1
0x1924b,0x20000000,0x00000000,1
0x19ea1,0x00001000,0x00000000,1
0x1a06a,0x00730055,0x00330055,1
0x1a233,0x00000089,0x00000189,1
0x1af66,0x08000000,0x00000000,1
0x1b380,0x00000200,0x00000000,1
0x1ba03,0x00040000,0x00000000,1
0x1c945,0x00551033,0x00550033,1
0x1c9aa,0x00550833,0x00550033,1
0x1d022,0x01000008,0x00000008,1
0x1d3c7,0x2328845f,0x2328805f,1
0x1d459,0x005500b3,0x00550033,1
0x1d728,0xfffffeff,0xffffffff,1
0x1d758,0xffffbfff,0xffffffff,1
0x1f749,0x00100000,0x00140000,1
0x20af9,0x00334055,0x00330055,1
0x20b5e,0x00332055,0x00330055,1
0x225b7,0x00000100,0x00000000,1
0x234a9,0x00550833,0x00550033,1
0x24182,0x00c00010,0x00c00000,1
0x25059,0x00400000,0x00000000,1
0x250be,0x00400000,0x00000000,1
0x25185,0x02000000,0x00000000,1
0x25908,0x8a448000,0x8a048000,1
0x27dff,0x00808001,0x00808000,1
0x280e1,0x28000088,0x28002088,1
0x29eb1,0x01000000,0x00000000,1
0x29f16,0x00800000,0x00000000,1
0x2abfb,0x00334055,0x00330055,1
0x2bc81,0xefffffff,0xffffffff,1
0x2d359,0x00000008,0x00000000,1
0x2d3be,0x00000004,0x00000000,1
0x2df16,0x01680054,0x01280054,1
0x2dfcd,0x200a0874,0x200a0a74,1
0x2e356,0x00400000,0x00000000,1
0x2e3fc,0xfffffffd,0xffffffff,1
0x30084,0x00000080,0x00000000,1
0x306c7,0x04000001,0x00000001,1
0x318b1,0x00000800,0x00000000,1
0x323d4,0x20000000,0x00000000,1
0x32439,0x10000000,0x00000000,1
0x339e5,0x00000040,0x00000000,1
0x35611,0x00400000,0x00000000,1
0x35673,0x00001000,0x00000000,1
0x360ac,0x00000001,0x00000000,1
0x3625d,0x08000000,0x00000000,1
0x362c2,0x04000000,0x00000000,1
0x37195,0x80030000,0x00030000,1
0x3721a,0xfffffeff,0xffffffff,1
0x3727f,0xfffffeff,0xffffffff,1
0x37c06,0x00400000,0x00000000,1
0x37dba,0x00060000,0x00000000,1
0x38471,0x10800400,0x10800000,1
0x38c8b,0x40000000,0x00000000,1
0x39a5d,0x00400000,0x00000000,1
0x39f05,0x00000008,0x00000000,1
0x39f6a,0x00000004,0x00000000,1
0x3aa25,0x00000800,0x00000000,1
0x3ab88,0x40140004,0x40140000,1
0x3aba1,0x40100040,0x40100000,1
0x3abed,0x04000002,0x04000000,1
0x3b152,0x00008000,0x00000000,1
0x3bf69,0x00330075,0x00330055,1
0x3bfce,0x00330075,0x00330055,1
0x3c0bc,0x00002000,0x00000000,1
0x3f023,0x00000400,0x00000000,1
0x3fc24,0x00040000,0x00000000,1
0x3fef4,0x02000000,0x00000000,1
0x3ffd1,0x08000000,0x00000000,1
0x40036,0x08000000,0x00000000,1
0x414bb,0x00008000,0x00000000,1
0x41afc,0x00000020,0x00000000,1
0x41b61,0x00000010,0x00000000,1
0x42c7d,0x01200000,0x00200000,1
0x42e9b,0x10000000,0x00000000,1
0x42f00,0x08000000,0x00000000,1
0x4388a,0x00002000,0x00000000,1
0x440e4,0x00800000,0x00000000,1
0x443fe,0x00000200,0x00000000,1
0x44463,0x00000100,0x00000000,1
0x447b9,0x00000001,0x00000000,1
0x4481d,0x80000000,0x00000000,1
0x456aa,0x04282050,0x04280050,1
0x45b99,0x00010000,0x00000000,1
0x47678,0x00000040,0x00000000,1
0x48566,0x000f0433,0x000f0033,1
0x485cb,0x000f0833,0x000f0033,1
0x48635,0x0033080f,0x0033000f,1
0x48b27,0x00004004,0x00000004,1
0x498d9,0x02000000,0x00000000,1
0x4a7cd,0x00100000,0x00000000,1
0x4a917,0x00000200,0x00000300,1
0x4afd6,0x7fffffff,0xffffffff,1
0x4b03c,0xfffffffd,0xffffffff,1
0x4b8b4,0x00000800,0x00000000,1
0x4b916,0x00020000,0x00000000,1
0x4be3d,0x00330c55,0x00330055,1
0x4bea2,0x00331855,0x00330055,1
0x4cb4c,0x00338055,0x00330055,1
0x4cd6a,0xffff7fff,0xffffffff,1
0x4e992,0x00000400,0x00000000,1
0x4f500,0x00020000,0x00000000,1
0x50052,0x00b30055,0x00330055,1
0x500b7,0x01330055,0x00330055,1
0x5098a,0x20000000,0x00000000,1
0x50bf5,0x08000000,0x00000000,1
0x50d61,0x00000800,0x00000000,1
0x51177,0x04000000,0x00000000,1
0x51807,0x14000042,0x14000040,1
0x51d08,0x00010000,0x00000000,1
0x52cd9,0x04000000,0x00000000,1
0x530bc,0x00001000,0x00000000,1
0x532ed,0x00040000,0x00000000,1
0x5347e,0x00000800,0x00000000,1
0x534e3,0x00000400,0x00000000,1
0x54498,0x01000000,0x00000000,1
0x5449f,0x00008000,0x00000000,1
0x54556,0x11418000,0x11018000,1
0x5525f,0x00d50033,0x00550033,1
0x55abe,0x01000000,0x00000000,1
0x5698a,0x00000100,0x00000000,1
0x56aa5,0x00000010,0x00000000,1
0x58633,0x08000000,0x00000000,1
0x59482,0x0033005d,0x00330055,1
0x5964f,0x00550233,0x00550033,1
0x59c26,0x00001000,0x00000000,1
0x5a22b,0x00550233,0x00550033,1
0x5bc8d,0x00000020,0x00000000,1
0x5c213,0x00010000,0x00000000,1
0x5cd29,0x00004060,0x00000060,1
0x5cf49,0x00080000,0x00000000,1
0x5cfae,0x000c0000,0x00000000,1
0x5e256,0x00000100,0x00000000,1
0x5e553,0x00100000,0x00000000,1
0x5e67f,0x00000010,0x00000000,1
0x5f5ea,0x00000800,0x00000000,1
0x5f64f,0x00000400,0x00000000,1
0x6066b,0x08001f5a,0x00001f5a,1
0x606d0,0x04101819,0x00101819,1
0x6082f,0x00000041,0x00000040,1
0x608f1,0x01000000,0x00000000,1
0x60956,0x00800004,0x00000004,1
0x617a3,0x04000000,0x00000000,1
0x61808,0x04800082,0x00800082,1
0x6207f,0x80000000,0x00000000,1
0x62875,0x14088010,0x14080010,1
0x628da,0x00a04c00,0x00a00c00,1
0x64389,0x80000000,0x00000000,1
0x643be,0x20000080,0x00000080,1
0x649b7,0x00001000,0x00000000,1
0x65f0f,0x00200000,0x00000000,1
0x66d9f,0x00000001,0x00000000,1
0x679c1,0x82285075,0x82285055,1
0x68b72,0xffff7fff,0xffffffff,1
0x6f3cb,0x00000080,0x00000000,1
0x6f430,0x00000040,0x00000000,1
0x70146,0x80000804,0x80000004,1
0x701ba,0x00000080,0x00000000,1
0x70467,0x14000048,0x14000040,1
0x704cc,0x08000a2b,0x08000a23,1
0x7055c,0x3c8a8a62,0x3c0a8a62,1
0x705f2,0x0033005d,0x00330055,1
0x7203c,0x00180000,0x00100000,1
0x720a1,0x00042000,0x00002000,1
0x720b7,0x160a0040,0x140a0040,1
0x7211c,0x02000a20,0x00000a20,1
0x72263,0x00004000,0x00000000,1
0x73b81,0x20800804,0x20880804,1
0x73dac,0x00000aa2,0x00000a22,1
0x7412a,0xdfffffff,0xffffffff,1
0x74f90,0x000f0133,0x000f0033,1
0x76338,0x00000100,0x00000000,1
0x7639d,0x00000080,0x00000000,1
0x7657f,0x00020000,0x00000000,1
0x789d4,0x00800189,0x00000189,1
