Address,Word,Pattern,Round
1334,0x04,0x00,1
3686,0x40,0x00,1
13704,0x80,0x00,1
13869,0x10,0x00,1
22033,0x80,0x00,1
25532,0x02,0x00,1
26070,0x02,0x00,1
38377,0x10,0x00,1
50890,0x10,0x00,1
53601,0x02,0x00,1
54825,0x01,0x00,1
55799,0x80,0x00,1
60503,0x01,0x00,1
61682,0x20,0x00,1
63965,0x10,0x00,1
66704,0x04,0x00,1
66869,0x80,0x00,1
72225,0x40,0x00,1
75959,0x40,0x00,1
76802,0x40,0x00,1
77587,0x20,0x00,1
79776,0x01,0x00,1
90748,0x40,0x00,1
90927,0x20,0x00,1
92833,0x08,0x00,1
93703,0x08,0x00,1
94149,0x08,0x00,1
94769,0x04,0x00,1
97523,0x08,0x00,1
105389,0x10,0x00,1
110140,0x80,0x00,1
111678,0x20,0x00,1
116890,0x01,0x00,1
121617,0x04,0x00,1
124591,0x10,0x00,1
124767,0x10,0x00,1
125001,0x08,0x00,1
130355,0x40,0x00,1
130675,0x01,0x00,1
1752,0xF7,0xFF,2
1864,0xEF,0xFF,2
10391,0xBF,0xFF,2
11011,0xFD,0xFF,2
11300,0xFE,0xFF,2
14784,0xEF,0xFF,2
16280,0xBF,0xFF,2
19842,0xDF,0xFF,2
21069,0xF7,0xFF,2
21523,0xFD,0xFF,2
27305,0xFD,0xFF,2
29122,0xFB,0xFF,2
30247,0xDF,0xFF,2
38682,0xFD,0xFF,2
39019,0xFD,0xFF,2
45404,0xDF,0xFF,2
46527,0xDF,0xFF,2
46936,0xEF,0xFF,2
50944,0xF7,0xFF,2
51142,0xEF,0xFF,2
51796,0xF7,0xFF,2
53111,0xFD,0xFF,2
54823,0xDF,0xFF,2
55722,0xFD,0xFF,2
57263,0xDF,0xFF,2
60827,0xFB,0xFF,2
63513,0x7F,0xFF,2
63569,0xFB,0xFF,2
64824,0xFE,0xFF,2
74305,0xF7,0xFF,2
87935,0xDF,0xFF,2
88734,0xDF,0xFF,2
89000,0xEF,0xFF,2
98982,0xFE,0xFF,2
100279,0xDF,0xFF,2
102386,0x7F,0xFF,2
104446,0x7F,0xFF,2
104634,0xFE,0xFF,2
105372,0xFD,0xFF,2
106224,0xBF,0xFF,2
107089,0xFE,0xFF,2
112221,0xFD,0xFF,2
112494,0xF7,0xFF,2
114640,0xEF,0xFF,2
115480,0xFD,0xFF,2
118813,0x7F,0xFF,2
119026,0x7F,0xFF,2
120228,0xFD,0xFF,2
128408,0xBF,0xFF,2
128421,0xF7,0xFF,2
130087,0xFB,0xFF,2
114016,0x02,0x00,3
109633,0x04,0x00,3
103997,0x08,0x00,3
96074,0x04,0x00,3
93950,0x40,0x00,3
83685,0x04,0x00,3
71864,0x20,0x00,3
68414,0x80,0x00,3
66929,0x02,0x00,3
