Address,Content,Pattern,Cycle
0x146107,0xFD,0xFF,1
0x09CC8A,0xFD,0xFF,2
0x186FC3,0xFD,0xFF,2
0x03C22E,0xDF,0xFF,3
0x11A58D,0xFB,0xFF,4
0x1E68E4,0xDF,0xFF,5
0x042480,0xF7,0xFF,6
0x092581,0xFB,0xFF,6
0x1AE6CB,0xFB,0xFF,7
0x0E72C8,0xDF,0xFF,8
0x02D67B,0xFE,0xFF,9
0x062836,0xFB,0xFF,10
0x1195FF,0xEF,0xFF,11
0x14D0F2,0xF7,0xFF,12
0x08F745,0xF7,0xFF,13
0x1E009D,0xBF,0xFF,13
0x1ED0FC,0xFB,0xFF,13
0x1FD0FD,0xFD,0xFF,13
0x049C7C,0xFB,0xFF,14
0x12EF93,0xFE,0xFF,14
0x03C268,0xFD,0xFF,15
0x0C33AF,0xDF,0xFF,16
0x14505A,0xBF,0xFF,16
0x145A0E,0xFD,0xFF,16
0x15505B,0xDF,0xFF,16
0x155A0F,0xFE,0xFF,16
0x185B0E,0xFD,0xFF,16
0x195B0F,0xFE,0xFF,16
0x06F413,0xEF,0xFF,17
0x0BF512,0xEF,0xFF,17
0x099E6F,0xF7,0xFF,18
0x17E296,0xDF,0xFF,19
0x1079C7,0xEF,0xFF,20
0x1179C6,0xEF,0xFF,20
0x1A042C,0xF7,0xFF,21
0x1B042D,0xFB,0xFF,21
0x19653A,0xEF,0xFF,22
0x1D3BB1,0xBF,0xFF,23
0x0742F9,0xF7,0xFF,24
0x0B43F9,0xF7,0xFF,24
0x0C9CF1,0xFE,0xFF,24
0x0D9CF0,0xFE,0xFF,24
0x15A768,0xBF,0xFF,24
0x1805A6,0xFB,0xFF,24
0x0111C8,0xDF,0xFF,25
0x09C8BC,0xFE,0xFF,26
0x0D30DC,0xFD,0xFF,26
0x14F6FC,0xBF,0xFF,26
0x1AA556,0x7F,0xFF,26
0x0708C2,0xFE,0xFF,27
0x1D4390,0x7F,0xFF,27
0x1959CB,0xFD,0xFF,28
0x19A10F,0xBF,0xFF,29
0x149B6C,0xDF,0xFF,30
0x1C9A6C,0xDF,0xFF,30
0x1D9A6D,0xEF,0xFF,30
0x034E9A,0xF7,0xFF,31
0x0CFB8A,0xBF,0xFF,31
0x1E3483,0xDF,0xFF,32
0x034621,0x7F,0xFF,33
0x12ABD5,0xFB,0xFF,33
0x049CBE,0xFB,0xFF,34
0x158CA3,0xEF,0xFF,34
0x00693D,0xF7,0xFF,35
0x01C7FC,0xFD,0xFF,36
0x18AF91,0x7F,0xFF,37
0x19AF90,0x7F,0xFF,37
0x1A502B,0xFB,0xFF,37
0x020B07,0xBF,0xFF,38
0x0277D3,0xFE,0xFF,38
0x0287AC,0xFD,0xFF,38
0x0387AD,0xFE,0xFF,38
0x0A0A07,0xBF,0xFF,38
0x0A86AC,0xFD,0xFF,38
0x0B0A06,0xBF,0xFF,38
0x0B86AD,0xFE,0xFF,39
0x1E600E,0xBF,0xFF,39
0x04F112,0xDF,0xFF,40
0x06DCAA,0xBF,0xFF,40
0x12DD8A,0xFD,0xFF,41
0x13DD8B,0xFE,0xFF,41
0x1778DA,0xDF,0xFF,41
0x1ADC8A,0xFD,0xFF,41
0x1BDC8B,0xFE,0xFF,41
0x1FE893,0x7F,0xFF,41
0x0AE4EE,0xEF,0xFF,42
0x12F857,0x7F,0xFF,42
0x13F856,0x7F,0xFF,42
0x147A93,0xEF,0xFF,42
0x1670DF,0xFE,0xFF,43
0x1FAC69,0xDF,0xFF,43
0x056924,0xFE,0xFF,44
0x0608D9,0x7F,0xFF,44
0x1E2A1F,0xFE,0xFF,45
0x00D358,0xDF,0xFF,46
0x05D2E4,0xFD,0xFF,46
0x0C9135,0xF7,0xFF,46
0x0D9134,0xF7,0xFF,46
0x1B2280,0x7F,0xFF,46
0x063A12,0xFE,0xFF,47
0x07DA13,0x7F,0xFF,47
0x0BDB13,0x7F,0xFF,47
0x16A19A,0xBF,0xFF,48
0x0361E5,0xF7,0xFF,49
0x012B34,0xFD,0xFF,50
0x1CF4C3,0xFB,0xFF,51
0x0A72E9,0xFD,0xFF,52
0x0B72E8,0xFD,0xFF,52
0x0F77E8,0xF7,0xFF,52
0x1C04BE,0xFE,0xFF,53
0x10F11D,0xBF,0xFF,54
0x1FA016,0xDF,0xFF,55
0x05771B,0xF7,0xFF,56
0x10EBC3,0x7F,0xFF,57
0x11EBC2,0x7F,0xFF,57
0x15B36B,0xDF,0xFF,57
0x1B974B,0xFE,0xFF,58
0x1C640F,0x7F,0xFF,59
0x03303E,0xBF,0xFF,60
0x0735E6,0xFE,0xFF,61
0x11D465,0xFD,0xFF,62
0x131B46,0xFD,0xFF,62
0x16BCC6,0xDF,0xFF,62
0x17BCC7,0xEF,0xFF,62
0x1A1A47,0xFD,0xFF,62
0x1ABDC6,0xDF,0xFF,62
0x1BBDC7,0xEF,0xFF,62
0x0AA829,0xBF,0xFF,63
0x0A105E,0xBF,0xFF,64
