WORD_ADDRESS, STORED_DATA, PATTERN, round
0x000a0,0x15,0x55,1
0x0014c,0x45,0x55,1
0x00236,0x51,0x55,1
0x00251,0x57,0x55,1
0x00346,0x75,0x55,1
0x005fb,0x15,0x55,1
0x009a3,0x54,0x55,1
0x00b0c,0x15,0x55,1
0x00b92,0xd5,0x55,1
0x00d94,0x5d,0x55,1
0x00dfe,0x15,0x55,1
0x00f31,0x5d,0x55,1
0x00f44,0x51,0x55,1
0x00fe0,0x45,0x55,1
0x01039,0x5d,0x55,1
0x01163,0xd5,0x55,1
0x01748,0x57,0x55,1
0x01942,0x54,0x55,1
0x01cb0,0x54,0x55,1
0x01d5a,0x15,0x55,1
0x02098,0x75,0x55,1
0x022ed,0x54,0x55,1
0x0250c,0x15,0x55,1
0x02597,0x15,0x55,1
0x02676,0x45,0x55,1
0x0268a,0x54,0x55,1
0x02802,0x5d,0x55,1
0x02a76,0x45,0x55,1
0x02bb8,0x57,0x55,1
0x02c1c,0x45,0x55,1
0x02d98,0x75,0x55,1
0x02eb9,0xd5,0x55,1
0x02fc6,0x75,0x55,1
0x03143,0x57,0x55,1
0x03162,0x57,0x55,1
0x031cb,0x15,0x55,1
0x0321a,0x75,0x55,1
0x032e6,0x5d,0x55,1
0x03502,0x75,0x55,1
0x0382c,0x5d,0x55,1
0x03b23,0x57,0x55,1
0x03c5c,0x45,0x55,1
0x03ce9,0x75,0x55,1
0x03e64,0xd5,0x55,1
0x03eec,0x75,0x55,1
0x03fa4,0x15,0x55,1
0x04035,0x51,0x55,1
0x04695,0x75,0x55,1
0x0490a,0x75,0x55,1
0x04a5b,0x75,0x55,1
0x04b34,0x51,0x55,1
0x04e19,0x5d,0x55,1
0x04ed6,0x57,0x55,1
0x04fb4,0x54,0x55,1
0x051a5,0x75,0x55,1
0x0523b,0x15,0x55,1
0x05537,0x54,0x55,1
0x055a5,0x75,0x55,1
0x05643,0x75,0x55,1
0x059cf,0x15,0x55,1
0x05d2c,0x57,0x55,1
0x05e74,0xd5,0x55,1
0x0618e,0xd5,0x55,1
0x0634c,0x54,0x55,1
0x06537,0x57,0x55,1
0x06653,0x54,0x55,1
0x066c8,0xd5,0x55,1
0x06ab1,0x75,0x55,1
0x06d35,0x75,0x55,1
0x06e2b,0x54,0x55,1
0x06eb0,0x5d,0x55,1
0x0706b,0x5d,0x55,1
0x070cf,0x45,0x55,1
0x07302,0x54,0x55,1
0x07549,0x75,0x55,1
0x0768c,0x54,0x55,1
0x079c1,0x75,0x55,1
0x07c4f,0x15,0x55,1
0x07d94,0x5d,0x55,1
0x07ef1,0xd5,0x55,1
0x081f0,0x45,0x55,1
0x08263,0x5d,0x55,1
0x0841c,0x5d,0x55,1
0x085ae,0xd5,0x55,1
0x08719,0x54,0x55,1
0x08876,0x57,0x55,1
0x088fa,0x51,0x55,1
0x08a27,0x15,0x55,1
0x08e7a,0xd5,0x55,1
0x08ed7,0x51,0x55,1
0x08f7a,0x45,0x55,1
0x09014,0x57,0x55,1
0x094e8,0x57,0x55,1
0x095d4,0x15,0x55,1
0x096d3,0x54,0x55,1
0x096d9,0x5d,0x55,1
0x09765,0x57,0x55,1
0x098a4,0x54,0x55,1
0x09909,0x57,0x55,1
0x09c6c,0x57,0x55,1
0x09de3,0x45,0x55,1
0x0a0e2,0x45,0x55,1
0x0a1ca,0xd5,0x55,1
0x0a24e,0xd5,0x55,1
0x0a3ba,0x45,0x55,1
0x0a674,0x45,0x55,1
0x0a92c,0x57,0x55,1
0x0aaaa,0x54,0x55,1
0x0ab2a,0x45,0x55,1
0x0ad25,0x15,0x55,1
0x0ad45,0x51,0x55,1
0x0b01d,0xd5,0x55,1
0x0b08d,0x75,0x55,1
0x0b328,0x51,0x55,1
0x0b48d,0x75,0x55,1
0x0b92e,0x15,0x55,1
0x0b935,0x5d,0x55,1
0x0b93a,0x57,0x55,1
0x0b947,0x51,0x55,1
0x0bae5,0x45,0x55,1
0x0bb0f,0x15,0x55,1
0x0bcc8,0xd5,0x55,1
0x0be64,0x57,0x55,1
0x0bf36,0x5d,0x55,1
0x0c03b,0x54,0x55,1
0x0c12f,0x15,0x55,1
0x0c204,0x54,0x55,1
