WORD_ADDRESS, STORED_DATA, PATTERN,Round
0x00409,0x57,0x55,1
0x004b2,0x54,0x55,1
0x00556,0x51,0x55,1
0x00630,0xd5,0x55,1
0x007b0,0xd5,0x55,1
0x007bd,0x15,0x55,1
0x00a70,0x54,0x55,1
0x00d11,0x51,0x55,1
0x00e6f,0x51,0x55,1
0x00f4c,0x5d,0x55,1
0x010c3,0x51,0x55,1
0x0112a,0xd5,0x55,1
0x01353,0x5d,0x55,1
0x0141f,0xd5,0x55,1
0x0149a,0x57,0x55,1
0x014b6,0x51,0x55,1
0x0157e,0x51,0x55,1
0x0160c,0xd5,0x55,1
0x01655,0x15,0x55,1
0x017d9,0x75,0x55,1
0x01a35,0x57,0x55,1
0x01ab0,0x54,0x55,1
0x020eb,0x57,0x55,1
0x02243,0xd5,0x55,1
0x022fe,0x51,0x55,1
0x023bd,0x75,0x55,1
0x02594,0xd5,0x55,1
0x0264e,0x54,0x55,1
0x0293e,0xd5,0x55,1
0x02b4e,0x54,0x55,1
0x0354b,0xd5,0x55,1
0x03574,0xd5,0x55,1
0x03758,0x54,0x55,1
0x03b46,0x15,0x55,1
0x03b8c,0x75,0x55,1
0x04034,0x51,0x55,1
0x047cb,0x75,0x55,1
0x048be,0x5d,0x55,1
0x0511d,0x45,0x55,1
0x05248,0x75,0x55,1
0x05371,0x5d,0x55,1
0x0586c,0x54,0x55,1
0x05d8d,0x15,0x55,1
0x05d9b,0x75,0x55,1
0x05fb9,0x75,0x55,1
0x05fe6,0x75,0x55,1
0x066d6,0x57,0x55,1
0x06872,0x51,0x55,1
0x071b1,0x54,0x55,1
0x07426,0x57,0x55,1
0x075e3,0x54,0x55,1
0x076c1,0x57,0x55,1
0x07974,0x45,0x55,1
0x07f9a,0x15,0x55,1
0x07ff2,0xd5,0x55,1
0x083b7,0x51,0x55,1
0x08b73,0x15,0x55,1
0x08c62,0x15,0x55,1
0x08df0,0x51,0x55,1
0x08f29,0x45,0x55,1
0x0905d,0x51,0x55,1
0x09147,0x75,0x55,1
0x09388,0x57,0x55,1
0x0941d,0x57,0x55,1
0x095de,0x45,0x55,1
0x096e3,0x57,0x55,1
0x0992d,0x75,0x55,1
0x09af3,0x45,0x55,1
0x09c57,0x45,0x55,1
0x09cb7,0x5d,0x55,1
0x09d99,0x75,0x55,1
0x09f31,0x5d,0x55,1
0x0a109,0x54,0x55,1
0x0a116,0x75,0x55,1
0x0a381,0x54,0x55,1
0x0a399,0x51,0x55,1
0x0a3d7,0x75,0x55,1
0x0a4bc,0xd5,0x55,1
0x0a615,0x54,0x55,1
0x0a667,0x75,0x55,1
0x0a7f2,0x45,0x55,1
0x0a920,0x75,0x55,1
0x0aa0a,0x57,0x55,1
0x0ac65,0x51,0x55,1
0x0ad42,0x51,0x55,1
0x0b4a5,0x57,0x55,1
0x0b56f,0x57,0x55,1
0x0b8da,0x54,0x55,1
0x0ba60,0x54,0x55,1
0x0bef0,0x45,0x55,1
0x0bf33,0x51,0x55,1
0x0c1be,0x51,0x55,1
0x0c363,0x45,0x55,1
0x0c5ab,0x5d,0x55,1
0x0c91a,0x75,0x55,1
0x0cd37,0x54,0x55,1
0x0ce30,0x54,0x55,1
0x0cef7,0x5d,0x55,1
0x0d00f,0x75,0x55,1
0x0d31d,0x57,0x55,1
0x0d4ac,0x54,0x55,1
0x0d9bb,0x15,0x55,1
0x0dd32,0x57,0x55,1
0x0de75,0x45,0x55,1
0x0df37,0x54,0x55,1
0x0e116,0xd5,0x55,1
0x0e55c,0x45,0x55,1
0x0ecc1,0x75,0x55,1
0x0edd2,0xd5,0x55,1
0x0ef01,0x57,0x55,1
0x0f282,0x51,0x55,1
0x0f518,0x75,0x55,1
0x0fb28,0xd5,0x55,1
0x0fc76,0x51,0x55,1
0x10312,0xd5,0x55,1
0x1055c,0xd5,0x55,1
0x10612,0x51,0x55,1
0x109be,0xd5,0x55,1
0x10a38,0x15,0x55,1
0x10b0d,0x51,0x55,1
0x10d9e,0x75,0x55,1
0x10f4f,0x57,0x55,1
0x117ef,0x45,0x55,1
0x1207b,0x15,0x55,1
0x120e7,0x51,0x55,1
0x123d7,0x45,0x55,1
0x12567,0x15,0x55,1
0x125af,0x45,0x55,1
0x12c8d,0x57,0x55,1
0x12e9a,0x57,0x55,1
0x131ff,0x57,0x55,1
0x13233,0x54,0x55,1
0x134ea,0x45,0x55,1
0x13501,0x45,0x55,1
0x135d4,0xd5,0x55,1
0x13611,0x51,0x55,1
0x138fd,0x45,0x55,1
0x13913,0x57,0x55,1
0x13df0,0xd5,0x55,1
0x1409a,0x5d,0x55,1
0x142ec,0x54,0x55,1
0x142f9,0x15,0x55,1
0x14459,0x45,0x55,1
0x14538,0x5d,0x55,1
0x14619,0x51,0x55,1
0x15000,0x54,0x55,1
0x155e6,0x75,0x55,1
0x15651,0x5d,0x55,1
0x15745,0x57,0x55,1
0x157e5,0x5d,0x55,1
0x15cb9,0xd5,0x55,1
0x1615f,0x54,0x55,1
0x16502,0x57,0x55,1
0x16570,0x57,0x55,1
0x16636,0x15,0x55,1
0x168d6,0x5d,0x55,1
0x16ce6,0x75,0x55,1
0x16f53,0x57,0x55,1
0x17084,0x45,0x55,1
0x171fb,0xd5,0x55,1
0x174f3,0x75,0x55,1
0x1756f,0x54,0x55,1
0x1761b,0x5d,0x55,1
0x17823,0xd5,0x55,1
0x178e9,0x75,0x55,1
0x179d3,0x45,0x55,1
0x17a22,0x51,0x55,1
0x17eea,0x15,0x55,1
0x17f67,0x5d,0x55,1
0x17fbf,0x54,0x55,1
0x187c5,0x57,0x55,1
0x188d1,0x57,0x55,1
0x18acb,0x45,0x55,1
0x18fd0,0x57,0x55,1
0x18fd8,0x54,0x55,1
0x196f1,0x5d,0x55,1
0x19881,0x45,0x55,1
0x19b0c,0x45,0x55,1
0x19c89,0xd5,0x55,1
0x19dc8,0x54,0x55,1
0x19fff,0x54,0x55,1
0x1a6c3,0x75,0x55,1
0x1a841,0x15,0x55,1
0x1af78,0x75,0x55,1
0x1b0ea,0x57,0x55,1
0x1b14f,0x15,0x55,1
0x1b68e,0x75,0x55,1
0x1b6d0,0x15,0x55,1
0x1b6df,0x57,0x55,1
0x1b9f2,0x45,0x55,1
0x1bbee,0x75,0x55,1
0x1bfa7,0x75,0x55,1
0x1bfdf,0x51,0x55,1
0x1c302,0x57,0x55,1
0x1c4a6,0x54,0x55,1
0x1c78a,0x15,0x55,1
0x1ca30,0x54,0x55,1
0x1cafe,0x51,0x55,1
0x1cb7b,0x57,0x55,1
0x1cd67,0x54,0x55,1
0x1d27c,0x57,0x55,1
0x1d64b,0x54,0x55,1
0x1d8ba,0x75,0x55,1
0x1de5f,0x75,0x55,1
0x1dfea,0x75,0x55,1
0x1e1c4,0x75,0x55,1
0x1e1c5,0x75,0x55,1
0x1e2d2,0x51,0x55,1
0x1e3d4,0x15,0x55,1
0x1e64c,0x5d,0x55,1
0x1eacf,0x15,0x55,1
0x1eca1,0xd5,0x55,1
