WORD_ADDRESS, STORED_DATA, PATTERN,ROUND
0x0001b,0x04,0x00,1
0x000ad,0x08,0x00,1
0x000dc,0x80,0x00,1
0x000e3,0x10,0x00,1
0x0019d,0x20,0x00,1
0x0038b,0x08,0x00,1
0x00450,0x10,0x00,1
0x0052a,0x01,0x00,1
0x00590,0x80,0x00,1
0x0066f,0x10,0x00,1
0x00764,0x10,0x00,1
0x0080d,0x20,0x00,1
0x0086d,0x80,0x00,1
0x00933,0x20,0x00,1
0x00969,0x20,0x00,1
0x00a24,0x10,0x00,1
0x00ab1,0x10,0x00,1
0x00b74,0x10,0x00,1
0x00b87,0x01,0x00,1
0x00b90,0x80,0x00,1
0x00c4d,0x10,0x00,1
0x00c8a,0x10,0x00,1
0x00d27,0x04,0x00,1
0x00d2c,0x08,0x00,1
0x00d42,0x40,0x00,1
0x00dc5,0x80,0x00,1
0x00dcd,0x10,0x00,1
0x00efd,0x01,0x00,1
0x00f03,0x80,0x00,1
0x00f8d,0x80,0x00,1
0x00fee,0x04,0x00,1
0x01148,0x22,0x00,1
0x01202,0x40,0x00,1
0x0124b,0x20,0x00,1
0x01317,0x20,0x00,1
0x0136e,0x10,0x00,1
0x01385,0x04,0x00,1
0x01422,0x40,0x00,1
0x01456,0x08,0x00,1
0x0145f,0x40,0x00,1
0x0147a,0x80,0x00,1
0x014a0,0x40,0x00,1
0x015f9,0x40,0x00,1
0x0173b,0x04,0x00,1
0x01778,0x10,0x00,1
0x01799,0x80,0x00,1
0x017b1,0x02,0x00,1
0x017fe,0x02,0x00,1
0x01a74,0x20,0x00,1
0x01c17,0x80,0x00,1
0x01d4b,0x80,0x00,1
0x01d54,0x10,0x00,1
0x01d58,0x01,0x00,1
0x01e85,0x80,0x00,1
0x01ebf,0x02,0x00,1
0x01f6b,0x02,0x00,1
0x01fa9,0x01,0x00,1
0x01fb9,0x40,0x00,1
0x0209b,0x08,0x00,1
0x021ba,0x04,0x00,1
0x02241,0x08,0x00,1
0x0242b,0x40,0x00,1
0x02469,0x08,0x00,1
0x024b5,0x01,0x00,1
0x024e6,0x80,0x00,1
0x024f5,0x20,0x00,1
0x0258a,0x04,0x00,1
0x0258c,0x20,0x00,1
0x027a0,0x04,0x00,1
0x02834,0x40,0x00,1
0x02881,0x02,0x00,1
0x028d1,0x80,0x00,1
0x0293c,0x01,0x00,1
0x029b5,0x08,0x00,1
0x02b7f,0x04,0x00,1
0x02bfc,0x40,0x00,1
0x02c0e,0x04,0x00,1
0x02c3e,0x04,0x00,1
0x02d97,0x02,0x00,1
0x02e47,0x01,0x00,1
0x02e7e,0x02,0x00,1
0x03000,0x02,0x00,1
0x0308f,0x80,0x00,1
0x030bb,0x02,0x00,1
0x031c3,0x20,0x00,1
0x0323f,0x08,0x00,1
0x033dc,0x04,0x00,1
0x034eb,0x04,0x00,1
0x036f5,0x01,0x00,1
0x03748,0x20,0x00,1
0x03784,0x01,0x00,1
0x037bd,0x01,0x00,1
0x037d5,0x40,0x00,1
0x03803,0x40,0x00,1
0x038bc,0x20,0x00,1
0x03a39,0x02,0x00,1
0x03b9a,0x01,0x00,1
0x03be8,0x01,0x00,1
0x03c9a,0x10,0x00,1
0x03d1d,0x08,0x00,1
0x03d45,0x80,0x00,1
0x03d91,0x20,0x00,1
0x03ed0,0x40,0x00,1
0x03ee8,0x10,0x00,1
0x0424c,0x80,0x00,1
0x043be,0x01,0x00,1
0x04418,0x02,0x00,1
0x04577,0x20,0x00,1
0x04813,0x40,0x00,1
0x04a47,0x04,0x00,1
0x04a73,0x80,0x00,1
0x04ae6,0x04,0x00,1
0x04bd6,0x20,0x00,1
