WORD_ADDRESS, STORED_DATA, PATTERN, Round
0x000f4,0x5d,0x55,1
0x00198,0x51,0x55,1
0x00381,0x57,0x55,1
0x00477,0x54,0x55,1
0x00773,0x51,0x55,1
0x008e7,0x75,0x55,1
0x00a6a,0x51,0x55,1
0x00d2a,0x45,0x55,1
0x00f3a,0x15,0x55,1
0x010db,0x45,0x55,1
0x011ea,0xd5,0x55,1
0x0123d,0x45,0x55,1
0x012fb,0xd5,0x55,1
0x01698,0x51,0x55,1
0x0184d,0x54,0x55,1
0x01886,0x15,0x55,1
0x024bb,0x45,0x55,1
0x029dd,0x5d,0x55,1
0x02a12,0x45,0x55,1
0x02f09,0x75,0x55,1
0x03b71,0x15,0x55,1
0x03e09,0x57,0x55,1
0x0420e,0xd5,0x55,1
0x042a8,0x54,0x55,1
0x0449c,0x15,0x55,1
0x04729,0x45,0x55,1
0x050e8,0x5d,0x55,1
0x05221,0x5d,0x55,1
0x053a1,0x75,0x55,1
0x053d4,0x54,0x55,1
0x05592,0x51,0x55,1
0x05d9d,0x15,0x55,1
0x05e1d,0x54,0x55,1
0x06082,0xd5,0x55,1
0x060cd,0x54,0x55,1
0x06120,0x5d,0x55,1
0x06510,0x54,0x55,1
0x0659f,0x15,0x55,1
0x0698f,0x51,0x55,1
0x06a04,0x57,0x55,1
0x06c3d,0x54,0x55,1
0x06d40,0x54,0x55,1
0x06e14,0x51,0x55,1
0x0770e,0x57,0x55,1
0x07d24,0x15,0x55,1
0x07fac,0x45,0x55,1
0x087e4,0x5d,0x55,1
0x08d42,0x45,0x55,1
0x08fb5,0x5d,0x55,1
0x0993f,0x54,0x55,1
0x09a35,0x15,0x55,1
0x09f7c,0x45,0x55,1
0x0a171,0xd5,0x55,1
0x0a310,0x54,0x55,1
0x0a44f,0x45,0x55,1
0x0a524,0x45,0x55,1
0x0a542,0x54,0x55,1
0x0a7e8,0x75,0x55,1
0x0a9a5,0x5d,0x55,1
0x0a9b0,0x5d,0x55,1
0x0b058,0x75,0x55,1
0x0b618,0x5d,0x55,1
0x0bcb2,0x54,0x55,1
0x0be3e,0x54,0x55,1
0x0be91,0xd5,0x55,1
0x0bf9b,0x57,0x55,1
0x0c09e,0x51,0x55,1
0x0c4d3,0x5d,0x55,1
0x0c50d,0x75,0x55,1
0x0c50f,0x75,0x55,1
0x0c94c,0xd5,0x55,1
0x0cb5d,0x54,0x55,1
0x0d46f,0x5d,0x55,1
0x0d628,0x54,0x55,1
0x0d6a8,0x15,0x55,1
0x0e11c,0x51,0x55,1
0x0e32d,0xd5,0x55,1
0x0e928,0x57,0x55,1
0x0e9c0,0x54,0x55,1
0x0f84c,0xd5,0x55,1
0x0fcc8,0x75,0x55,1
0x0fdf2,0x45,0x55,1
0x10574,0x15,0x55,1
0x10894,0x51,0x55,1
0x10af5,0x15,0x55,1
0x10afa,0xd5,0x55,1
0x110da,0x54,0x55,1
0x11322,0x45,0x55,1
0x115e2,0x54,0x55,1
0x11730,0x51,0x55,1
0x118dc,0x75,0x55,1
0x119e5,0xd5,0x55,1
0x11c3e,0x45,0x55,1
0x11dc8,0x5d,0x55,1
0x11ee7,0x51,0x55,1
0x11f4a,0x54,0x55,1
0x1226f,0x75,0x55,1
0x12373,0x15,0x55,1
0x124e1,0x51,0x55,1
0x124e8,0x45,0x55,1
0x128c1,0x51,0x55,1
0x12f6e,0x75,0x55,1
0x12fe0,0x5d,0x55,1
0x130a1,0x5d,0x55,1
0x137b0,0x75,0x55,1
0x13b69,0x54,0x55,1
0x14472,0x15,0x55,1
0x1473f,0x57,0x55,1
0x148e9,0x51,0x55,1
0x14efa,0x45,0x55,1
0x14fa8,0x57,0x55,1
0x1511d,0x54,0x55,1
0x153b7,0x54,0x55,1
0x15474,0x51,0x55,1
0x1605d,0x5d,0x55,1
0x16741,0x75,0x55,1
0x16a2d,0x57,0x55,1
0x16acb,0x75,0x55,1
0x177b6,0x57,0x55,1
0x1798f,0xd5,0x55,1
0x17be3,0x54,0x55,1
0x17c5f,0x75,0x55,1
0x17d7d,0xd5,0x55,1
0x17de5,0x45,0x55,1
0x17e43,0x57,0x55,1
0x17e83,0x54,0x55,1
0x17ed2,0x54,0x55,1
0x17fdd,0x45,0x55,1
0x181c7,0x51,0x55,1
0x18231,0x45,0x55,1
0x1838e,0x51,0x55,1
0x183df,0x57,0x55,1
0x187ca,0x57,0x55,1
0x18c5b,0x51,0x55,1
0x18fcf,0x54,0x55,1
0x19057,0xd5,0x55,1
0x191e2,0x57,0x55,1
0x1951a,0x5d,0x55,1
0x19539,0x57,0x55,1
0x195e4,0x05,0x55,1
0x1966e,0x15,0x55,1
0x19cba,0x75,0x55,1
0x1a0b7,0xd5,0x55,1
0x1a10d,0x57,0x55,1
0x1a3f8,0x5d,0x55,1
0x1ac0f,0x54,0x55,1
0x1accc,0x15,0x55,1
0x1af0d,0x54,0x55,1
0x1b374,0x75,0x55,1
0x1b804,0x75,0x55,1
0x1bd43,0x15,0x55,1
0x1c067,0x57,0x55,1
0x1c201,0x45,0x55,1
0x1c224,0x15,0x55,1
0x1c5a9,0x15,0x55,1
0x1cdc9,0x15,0x55,1
0x1cfcd,0x54,0x55,1
0x1d7c8,0x54,0x55,1
0x1d801,0x5d,0x55,1
0x1d8ee,0x15,0x55,1
0x1d915,0x57,0x55,1
0x1d98d,0x57,0x55,1
0x1e7b5,0x45,0x55,1
0x1e834,0x57,0x55,1
0x1ea74,0x15,0x55,1
0x1ee5c,0x75,0x55,1
0x1ef50,0x75,0x55,1
0x1f07d,0x57,0x55,1
0x1f13c,0x5d,0x55,1
0x1f42b,0x15,0x55,1
0x1f4eb,0x5d,0x55,1
0x1f5af,0x57,0x55,1
0x1f7b0,0x45,0x55,1
0x1f921,0x5d,0x55,1
0x1f9e6,0x45,0x55,1
0x1fbd1,0x5d,0x55,1
0x1fe1c,0xd5,0x55,1
