WORD_ADDRESS, STORED_DATA, PATTERN,ROUND
0x0030c,0xbf,0xFF,1
0x00790,0xdf,0xFF,1
0x008e3,0xf7,0xFF,1
0x00d5b,0xf7,0xFF,1
0x00e71,0xbf,0xFF,1
0x0134c,0xfe,0xFF,1
0x01449,0xdf,0xFF,1
0x01457,0xfb,0xFF,1
0x014e3,0xfb,0xFF,1
0x01574,0x7f,0xFF,1
0x016c4,0x7f,0xFF,1
0x017fa,0xfe,0xFF,1
0x0184c,0xfb,0xFF,1
0x018f0,0xfe,0xFF,1
0x01985,0xef,0xFF,1
0x02019,0x7f,0xFF,1
0x020d9,0xdf,0xFF,1
0x02155,0xfe,0xFF,1
0x022a2,0xfe,0xFF,1
0x023a6,0x7f,0xFF,1
0x024ef,0xdf,0xFF,1
0x024f4,0xdf,0xFF,1
0x0264b,0x7f,0xFF,1
0x02676,0xdf,0xFF,1
0x02695,0xf7,0xFF,1
0x029ad,0xef,0xFF,1
0x02ccf,0xbf,0xFF,1
0x02f23,0xbf,0xFF,1
0x03145,0xf7,0xFF,1
0x0315d,0xfb,0xFF,1
0x0315f,0xf7,0xFF,1
0x0367b,0xfb,0xFF,1
0x037f5,0xfb,0xFF,1
0x0380e,0xfe,0xFF,1
0x03f90,0xfd,0xFF,1
0x041f9,0xfd,0xFF,1
0x04261,0x7f,0xFF,1
0x042f9,0xbf,0xFF,1
0x044dc,0x7f,0xFF,1
0x048a8,0xfb,0xFF,1
0x048ce,0x7f,0xFF,1
0x0497d,0xfd,0xFF,1
0x04a17,0xfe,0xFF,1
0x04abd,0xbf,0xFF,1
0x04b40,0xf7,0xFF,1
0x04ffe,0xfb,0xFF,1
0x052f6,0xbf,0xFF,1
0x0580e,0xfe,0xFF,1
0x0598b,0x7f,0xFF,1
0x05aef,0xfb,0xFF,1
0x05e95,0x7f,0xFF,1
0x05edf,0xef,0xFF,1
0x05fb7,0xfb,0xFF,1
0x06279,0xbf,0xFF,1
0x064af,0xef,0xFF,1
0x0695e,0xfe,0xFF,1
0x06a60,0xfb,0xFF,1
0x06a83,0x7f,0xFF,1
0x06c73,0xfb,0xFF,1
0x0771a,0xbf,0xFF,1
0x07dfc,0xfb,0xFF,1
0x07fbc,0xbf,0xFF,1
0x08079,0x7f,0xFF,1
0x08a34,0xfd,0xFF,1
0x08b5c,0xf7,0xFF,1
0x08b97,0xfd,0xFF,1
0x08be6,0xfe,0xFF,1
0x08c1d,0x7f,0xFF,1
0x08df2,0xef,0xFF,1
0x0948d,0xf7,0xFF,1
0x0963f,0xfd,0xFF,1
0x099bc,0xfe,0xFF,1
0x09d5e,0xfb,0xFF,1
0x0a3e3,0x7f,0xFF,1
0x0a6cd,0xbf,0xFF,1
0x0a767,0xdf,0xFF,1
0x0a813,0xef,0xFF,1
0x0a878,0xf7,0xFF,1
0x0a90b,0xfd,0xFF,1
0x0a9fb,0xfb,0xFF,1
0x0aaf1,0x7f,0xFF,1
0x0aeab,0xdf,0xFF,1
0x0b2c1,0x7f,0xFF,1
0x0b30f,0xef,0xFF,1
0x0b626,0xfb,0xFF,1
0x0b75d,0x7f,0xFF,1
0x0b8e3,0xdf,0xFF,1
0x0bad3,0xfe,0xFF,1
0x0c068,0xbf,0xFF,1
0x0c59b,0xef,0xFF,1
0x0c64f,0xf7,0xFF,1
0x0cc5c,0xdf,0xFF,1
0x0da84,0xbf,0xFF,1
0x0db2e,0xbf,0xFF,1
0x0df98,0xf7,0xFF,1
0x0e088,0xfb,0xFF,1
0x0e28f,0xfb,0xFF,1
0x0e613,0xbf,0xFF,1
0x0f266,0xdf,0xFF,1
0x0f2b2,0xbf,0xFF,1
0x0f2c9,0xfe,0xFF,1
0x0f6be,0xfb,0xFF,1
0x0f6f3,0xf7,0xFF,1
0x0f9a9,0xfb,0xFF,1
0x0ffa0,0xf7,0xFF,1
0x1001f,0xdf,0xFF,1
0x1011b,0xfd,0xFF,1
0x1012d,0xfe,0xFF,1
0x10156,0xdf,0xFF,1
0x1036e,0xfe,0xFF,1
0x103f9,0xef,0xFF,1
0x104b2,0x7f,0xFF,1
0x10544,0x7f,0xFF,1
0x105e6,0x7f,0xFF,1
0x10778,0xbf,0xFF,1
0x109c5,0xfe,0xFF,1
0x10b28,0xfb,0xFF,1
0x10c8d,0xdf,0xFF,1
0x10cb7,0xef,0xFF,1
0x10e29,0xfb,0xFF,1
0x10ee3,0xef,0xFF,1
0x1103f,0xfd,0xFF,1
0x11405,0xfe,0xFF,1
0x1149d,0x7f,0xFF,1
0x11a17,0xef,0xFF,1
0x11be9,0x7f,0xFF,1
0x11daa,0x7f,0xFF,1
0x11dd7,0xfe,0xFF,1
0x120b3,0xdf,0xFF,1
0x12253,0x7f,0xFF,1
0x1271e,0xbf,0xFF,1
0x1281d,0xfd,0xFF,1
0x12826,0xef,0xFF,1
0x12b29,0xfd,0xFF,1
0x12c88,0xbf,0xFF,1
0x12f73,0xdf,0xFF,1
0x13413,0xdf,0xFF,1
0x134c3,0xfe,0xFF,1
0x13b24,0xdf,0xFF,1
0x13bfb,0xfe,0xFF,1
0x13c7d,0xbf,0xFF,1
0x13c99,0xdf,0xFF,1
0x13e38,0xfb,0xFF,1
0x14125,0xdf,0xFF,1
0x14351,0xfb,0xFF,1
0x14365,0xfb,0xFF,1
0x145a7,0xf7,0xFF,1
0x1465d,0xbf,0xFF,1
0x14a6d,0x7f,0xFF,1
0x14a6f,0x7f,0xFF,1
0x14a71,0x7f,0xFF,1
0x14b16,0x7f,0xFF,1
0x14f0f,0xfb,0xFF,1
0x150ca,0xfe,0xFF,1
0x151bb,0xfd,0xFF,1
0x155b4,0xfb,0xFF,1
0x1592b,0xf7,0xFF,1
0x15bbe,0xfe,0xFF,1
0x15c60,0xfe,0xFF,1
0x15f4d,0xf7,0xFF,1
0x15fcc,0x7f,0xFF,1
0x1632f,0x7f,0xFF,1
0x165d9,0xf7,0xFF,1
0x16661,0xf7,0xFF,1
0x16863,0xdf,0xFF,1
0x16f46,0xbf,0xFF,1
0x16fa8,0xfe,0xFF,1
0x170b6,0x7f,0xFF,1
0x170ce,0x7f,0xFF,1
0x1725b,0xef,0xFF,1
0x17575,0xbf,0xFF,1
0x17688,0xfe,0xFF,1
0x1775c,0xfb,0xFF,1
0x17a19,0xbf,0xFF,1
0x17b1c,0xfd,0xFF,1
0x17d30,0xf7,0xFF,1
0x17f30,0x7f,0xFF,1
0x1803a,0xf7,0xFF,1
0x181f2,0xbf,0xFF,1
0x181f4,0xfb,0xFF,1
0x1840c,0xf7,0xFF,1
0x184b7,0xbf,0xFF,1
0x185b7,0xdf,0xFF,1
0x18689,0xdf,0xFF,1
0x1869c,0xef,0xFF,1
0x186f3,0xef,0xFF,1
0x18738,0xbf,0xFF,1
0x187d3,0xfe,0xFF,1
0x195f5,0xdf,0xFF,1
0x196d2,0x7f,0xFF,1
0x19a75,0xbf,0xFF,1
0x19b9f,0xfd,0xFF,1
0x1a0cd,0xfe,0xFF,1
0x1a51d,0xf7,0xFF,1
0x1b38b,0xbf,0xFF,1
0x1b39e,0xfe,0xFF,1
0x1b7c2,0xfb,0xFF,1
0x1b7ca,0xfd,0xFF,1
0x1bb10,0xef,0xFF,1
0x1be59,0xfe,0xFF,1
0x1c00a,0xbf,0xFF,1
0x1c39f,0xdf,0xFF,1
0x1c3c2,0x7f,0xFF,1
0x1c811,0xbf,0xFF,1
0x1c8bf,0xdf,0xFF,1
0x1c945,0xbf,0xFF,1
0x1cac1,0xfb,0xFF,1
0x1cb98,0xef,0xFF,1
0x1cd6b,0x7f,0xFF,1
0x1ce3d,0xef,0xFF,1
0x1d001,0xf7,0xFF,1
0x1d0ba,0xfe,0xFF,1
0x1d41c,0xfb,0xFF,1
0x1d613,0xf7,0xFF,1
0x1d6d0,0xfd,0xFF,1
0x1d9fa,0xdf,0xFF,1
0x1dd5b,0xfb,0xFF,1
0x1de45,0xf7,0xFF,1
0x1df62,0xf7,0xFF,1
0x1e0b2,0xf7,0xFF,1
0x1e171,0xfd,0xFF,1
0x1e2d9,0xef,0xFF,1
0x1e614,0xf7,0xFF,1
0x1e650,0x7f,0xFF,1
0x1e874,0xfe,0xFF,1
0x1e879,0xf7,0xFF,1
0x1e987,0xfe,0xFF,1
0x1ea11,0xfb,0xFF,1
0x1ecae,0xfb,0xFF,1
0x1ed04,0xbf,0xFF,1
0x1ed6c,0xef,0xFF,1
0x1f11c,0xdf,0xFF,1
0x1f237,0xef,0xFF,1
0x1f3ba,0xfb,0xFF,1
0x1f500,0xef,0xFF,1
0x1f5f9,0xfd,0xFF,1
0x1f740,0xdf,0xFF,1
0x1fb28,0xf7,0xFF,1
0x1ff21,0xdf,0xFF,1
