WORD_ADDRESS, STORED_DATA, PATTERN, round
0x000be,0xfe,0xFF,1
0x000d2,0x7f,0xFF,1
0x00149,0x7f,0xFF,1
0x0019f,0xef,0xFF,1
0x00226,0xef,0xFF,1
0x002f2,0xef,0xFF,1
0x0032c,0xcf,0xFF,1
0x003b0,0xfd,0xFF,1
0x0043d,0x7f,0xFF,1
0x0057c,0xfe,0xFF,1
0x0059f,0xbf,0xFF,1
0x005df,0xf7,0xFF,1
0x00639,0xfb,0xFF,1
0x006e9,0xdf,0xFF,1
0x0078c,0xfd,0xFF,1
0x0079a,0x7f,0xFF,1
0x00825,0xf7,0xFF,1
0x0082b,0xdf,0xFF,1
0x0083b,0xfe,0xFF,1
0x00873,0xfb,0xFF,1
0x0089a,0xf7,0xFF,1
0x00911,0xfb,0xFF,1
0x00928,0xfd,0xFF,1
0x0093b,0xfb,0xFF,1
0x00961,0xdf,0xFF,1
0x00975,0xef,0xFF,1
0x00a90,0xdf,0xFF,1
0x00acd,0xfd,0xFF,1
0x00be7,0xf7,0xFF,1
0x00c2c,0xbf,0xFF,1
0x00c44,0xfd,0xFF,1
0x00e9b,0xfb,0xFF,1
0x01019,0xef,0xFF,1
0x01202,0xdf,0xFF,1
0x0120e,0xbf,0xFF,1
0x01220,0xef,0xFF,1
0x0131d,0xfe,0xFF,1
0x01386,0xfe,0xFF,1
0x01390,0xef,0xFF,1
0x013c2,0x7f,0xFF,1
0x013e3,0xfe,0xFF,1
0x013f4,0xfd,0xFF,1
0x0141b,0xef,0xFF,1
0x01440,0xdf,0xFF,1
0x01442,0xef,0xFF,1
0x014b5,0xbf,0xFF,1
0x01509,0xdf,0xFF,1
0x0162a,0xbf,0xFF,1
0x01838,0xf7,0xFF,1
0x01894,0xfb,0xFF,1
0x01974,0x7f,0xFF,1
0x01a27,0xf7,0xFF,1
0x01a30,0x7f,0xFF,1
0x01a5b,0xef,0xFF,1
0x01b14,0xf7,0xFF,1
0x01bf5,0xfb,0xFF,1
0x01cbc,0xdf,0xFF,1
0x01cf0,0xbf,0xFF,1
0x01e06,0xfd,0xFF,1
0x01e11,0xbf,0xFF,1
0x01e2f,0xef,0xFF,1
0x01ecc,0xbf,0xFF,1
0x01ef3,0xfd,0xFF,1
0x01f7c,0xf7,0xFF,1
0x020d7,0xfb,0xFF,1
0x020f3,0xbf,0xFF,1
0x02118,0xfe,0xFF,1
0x02178,0x7f,0xFF,1
0x021f5,0xf7,0xFF,1
0x0220b,0xf7,0xFF,1
0x02258,0x7f,0xFF,1
0x0232a,0xfb,0xFF,1
0x0236c,0xbf,0xFF,1
0x023e4,0x7f,0xFF,1
0x02457,0xfb,0xFF,1
0x0248d,0xfe,0xFF,1
0x02507,0xfd,0xFF,1
0x0250d,0xbf,0xFF,1
0x0259d,0x7f,0xFF,1
0x02644,0xf7,0xFF,1
0x0265b,0xfe,0xFF,1
0x026c9,0xef,0xFF,1
0x028ab,0xfd,0xFF,1
0x0293b,0xfe,0xFF,1
0x02982,0xdf,0xFF,1
0x029c4,0x7f,0xFF,1
0x02b18,0xdf,0xFF,1
0x02b2b,0xdf,0xFF,1
0x02be8,0xfe,0xFF,1
0x02c1c,0xbf,0xFF,1
0x02c1e,0xbf,0xFF,1
0x02c21,0xdf,0xFF,1
0x02d5d,0xdf,0xFF,1
0x02df4,0xbf,0xFF,1
0x02e0d,0xef,0xFF,1
0x02e69,0xfb,0xFF,1
0x02e7e,0xef,0xFF,1
0x02f3c,0xfe,0xFF,1
0x02fc3,0xfb,0xFF,1
0x03054,0xf7,0xFF,1
0x0309f,0xfd,0xFF,1
0x0323d,0xf7,0xFF,1
0x03298,0xdf,0xFF,1
0x032fb,0xfb,0xFF,1
0x03305,0xf7,0xFF,1
0x03382,0xfb,0xFF,1
0x033c0,0xf7,0xFF,1
0x03443,0xfd,0xFF,1
0x0346f,0xdf,0xFF,1
0x03559,0x7f,0xFF,1
0x035e0,0xbf,0xFF,1
0x0360e,0xfb,0xFF,1
0x0377f,0xbf,0xFF,1
0x038b5,0xef,0xFF,1
0x03937,0xfb,0xFF,1
0x03990,0xbf,0xFF,1
0x03a08,0x7f,0xFF,1
0x03af2,0xef,0xFF,1
0x03b53,0x7f,0xFF,1
0x03b68,0xfd,0xFF,1
0x03d0f,0x7f,0xFF,1
0x03e4d,0x7f,0xFF,1
0x03ee6,0xfd,0xFF,1
0x03f29,0xfd,0xFF,1
0x03f53,0xfd,0xFF,1
0x03f7e,0x7f,0xFF,1
0x04019,0xf7,0xFF,1
0x0407f,0xdf,0xFF,1
0x040c3,0xfd,0xFF,1
0x0413b,0x7f,0xFF,1
0x0420f,0xfe,0xFF,1
0x04270,0xef,0xFF,1
0x04277,0x7f,0xFF,1
0x042fb,0xfb,0xFF,1
0x04356,0x7f,0xFF,1
0x04360,0xf7,0xFF,1
0x043a9,0xf7,0xFF,1
0x043d3,0xfd,0xFF,1
0x0440a,0xdf,0xFF,1
0x044e9,0xbf,0xFF,1
0x045c0,0xbf,0xFF,1
0x045c1,0xfd,0xFF,1
0x04656,0xdf,0xFF,1
0x047b6,0xfb,0xFF,1
0x047d2,0xfe,0xFF,1
0x04826,0x7f,0xFF,1
0x04857,0xfb,0xFF,1
0x04861,0xbf,0xFF,1
0x0489c,0xef,0xFF,1
0x048f2,0x7f,0xFF,1
0x04a0c,0x7f,0xFF,1
0x04a95,0xfd,0xFF,1
0x04bd9,0xfe,0xFF,1
0x04c0f,0x7f,0xFF,1
0x04c27,0xbf,0xFF,1
0x04c53,0xef,0xFF,1
