WORD_ADDRESS, STORED_DATA, PATTERN
0x0449a,0x40000000,0x00000000,1
0x044ff,0x20000000,0x00000000,1
0x06345,0x01000000,0x00000000,1
0x06568,0x00010000,0x00000000,1
0x065cd,0x00010000,0x00000000,1
0x10814,0x00000800,0x00000000,1
0x13ff1,0x00080000,0x00000000,1
0x14101,0x00000200,0x00000000,1
0x14c14,0x00001000,0x00000000,1
0x14c79,0x00000800,0x00000000,1
0x15d78,0x00001000,0x00000000,1
0x16eb2,0x00004000,0x00000000,1
0x171d8,0x08000000,0x00000000,1
0x18403,0x1c000000,0x00000000,1
0x18468,0x18000000,0x00000000,1
0x18ec7,0x00000008,0x00000000,1
0x19d06,0x80000000,0x00000000,1
0x1b0ef,0x00002000,0x00000000,1
0x1d7ba,0x00020000,0x00000000,1
0x1d81f,0x00040000,0x00000000,1
0x1e3a4,0x00000200,0x00000000,1
0x1e409,0x00000380,0x00000000,1
0x1eee7,0x08000000,0x00000000,1
0x20892,0x08000000,0x00000000,1
0x208f7,0x04000000,0x00000000,1
0x270ca,0x10000000,0x00000000,1
0x288a1,0x00000100,0x00000000,1
0x2a28c,0x10000000,0x00000000,1
0x2ecab,0x08000000,0x00000000,1
0x2ed10,0x08000000,0x00000000,1
0x3774e,0x00000004,0x00000000,1
0x37ca3,0x00080000,0x00000000,1
0x37e15,0x00800000,0x00000000,1
0x38c66,0x00001000,0x00000000,1
0x38c6b,0x00000400,0x00000000,1
0x3a02f,0x00000002,0x00000000,1
0x3b1ad,0x00000080,0x00000000,1
0x3b381,0x40000000,0x00000000,1
0x3c172,0x00000010,0x00000000,1
0x3c69a,0x00002000,0x00000000,1
0x430b9,0x00000004,0x00000000,1
0x46814,0x00002000,0x00000000,1
0x46c33,0x00000200,0x00000000,1
0x483f0,0x30000000,0x00000000,1
0x48455,0x18000000,0x00000000,1
0x493b0,0x00000400,0x00000000,1
0x49415,0x00000800,0x00000000,1
0x4cdab,0x02000000,0x00000000,1
0x4dd12,0x00000080,0x00000000,1
0x4dd77,0x00000040,0x00000000,1
0x4e76a,0x00000100,0x00000000,1
0x4eab3,0x80000000,0x00000000,1
0x50160,0x00000001,0x00000000,1
0x501c4,0x80000000,0x00000000,1
0x528be,0x00000010,0x00000000,1
0x52923,0x00000008,0x00000000,1
0x53621,0x04000000,0x00000000,1
0x54f99,0x00001000,0x00000000,1
0x592f3,0x00800000,0x00000000,1
0x5b1b7,0x00000100,0x00000000,1
0x64d68,0x10000000,0x00000000,1
0x64dcd,0x10000000,0x00000000,1
0x66f6a,0x00400000,0x00000000,1
0x66fcf,0x00200000,0x00000000,1
0x67daa,0x00000004,0x00000000,1
0x67e0f,0x00000008,0x00000000,1
0x7063f,0x00800000,0x00000000,1
0x71f73,0x40000000,0x00000000,1
0x71fd8,0x20000000,0x00000000,1
0x72319,0x00c00000,0x00000000,1
0x7237e,0x00600000,0x00000000,1
0x73895,0x00000010,0x00000000,1
0x77b06,0x00400000,0x00000000,1
0x77b6b,0x00800000,0x00000000,1
0x7868e,0x00001000,0x00000000,1
0x786f3,0x00000800,0x00000000,1
0x78d32,0x00004000,0x00000000,1
0x78d97,0x00002000,0x00000000,1
0x78e61,0x00004000,0x00000000,1
0x7bb92,0x80000000,0x00000000,1
0x7e73c,0x40000000,0x00000000,1
0x7ea9e,0x00000001,0x00000000,1
0x7f6bf,0x00000008,0x00000000,1
0x815bb,0x00000004,0x00000000,1
0x84317,0x00000080,0x00000000,1
0x85397,0x40000000,0x00000000,1
0x866de,0x00000001,0x00000000,1
0x8b01b,0x01000000,0x00000000,1
0x8bf19,0x00000004,0x00000000,1
0x8d21b,0x00000100,0x00000000,1
0x8f578,0x20000000,0x00000000,1
0x8fc1b,0x00000200,0x00000000,1
0x8ff66,0x00000020,0x00000000,1
0x99168,0x00000080,0x00000000,1
0x9ac5a,0x00008000,0x00000000,1
0x9bdb9,0x00100000,0x00000000,1
0x9f203,0x00002000,0x00000000,1
0x9fdc9,0x00010000,0x00000000,1
0x9fe2e,0x00020000,0x00000000,1
0xa041c,0x04000000,0x00000000,1
0xa0481,0x04000000,0x00000000,1
0xa4c47,0x00080000,0x00000000,1
0xa5eda,0x00000040,0x00000000,1
0xa9289,0x00040000,0x00000000,1
0xab5d4,0x00020000,0x00000000,1
0xab639,0x00010000,0x00000000,1
0xabb52,0x00002000,0x00000000,1
0xacc7c,0x80000000,0x00000000,1
0xacc7d,0x00000001,0x00000000,1
0xaccc5,0xc0000000,0x00000000,1
0xacce1,0xc0000000,0x00000000,1
0xacd2a,0x60000000,0x00000000,1
0xb2b1d,0x00000008,0x00000000,1
0xb3a88,0x00180000,0x00000000,1
0xb3aed,0x000c0000,0x00000000,1
0xb892f,0x00000008,0x00000000,1
0xbbfc2,0x00000080,0x00000000,1
0xbc027,0x00000040,0x00000000,1
