Address,Word,Pattern,Round
28338,0xEF,0xFF,1
30225,0xFB,0xFF,1
31475,0xFD,0xFF,1
32624,0xBF,0xFF,1
34644,0x7F,0xFF,1
38536,0xFD,0xFF,1
39415,0xFD,0xFF,1
41672,0xFE,0xFF,1
43178,0xBF,0xFF,1
44283,0xDF,0xFF,1
44848,0xDF,0xFF,1
45067,0xEF,0xFF,1
45219,0xEF,0xFF,1
45237,0xF7,0xFF,1
49932,0xF7,0xFF,1
56210,0xEF,0xFF,1
56454,0xFE,0xFF,1
61845,0xDF,0xFF,1
61955,0x7F,0xFF,1
62431,0xDF,0xFF,1
62728,0xFD,0xFF,1
62881,0x7F,0xFF,1
62967,0xFD,0xFF,1
63317,0xBF,0xFF,1
63887,0xEF,0xFF,1
64453,0xFE,0xFF,1
66463,0xBF,0xFF,1
67011,0xFD,0xFF,1
68510,0xFD,0xFF,1
68666,0xFB,0xFF,1
72402,0xFD,0xFF,1
74438,0xEF,0xFF,1
74726,0xFE,0xFF,1
75017,0xFD,0xFF,1
78910,0xEF,0xFF,1
79920,0xEF,0xFF,1
80340,0xBF,0xFF,1
80789,0xFD,0xFF,1
82924,0xFB,0xFF,1
85319,0xFE,0xFF,1
86302,0xEF,0xFF,1
86927,0xFB,0xFF,1
88556,0xBF,0xFF,1
88558,0xBF,0xFF,1
89111,0xDF,0xFF,1
89159,0xEF,0xFF,1
89658,0xFE,0xFF,1
89909,0xFD,0xFF,1
90598,0xF7,0xFF,1
92444,0xBF,0xFF,1
92445,0x7F,0xFF,1
94310,0x7F,0xFF,1
94697,0xFE,0xFF,1
95784,0xDF,0xFF,1
95915,0xDF,0xFF,1
96014,0xFD,0xFF,1
96421,0xDF,0xFF,1
96432,0xFD,0xFF,1
97603,0xFD,0xFF,1
97759,0xFE,0xFF,1
102050,0xFD,0xFF,1
104076,0xFD,0xFF,1
105566,0xEF,0xFF,1
106918,0xFE,0xFF,1
107376,0xDF,0xFF,1
107861,0xDF,0xFF,1
109130,0xBF,0xFF,1
109844,0xFB,0xFF,1
110646,0xFB,0xFF,1
111100,0xFE,0xFF,1
111240,0xDF,0xFF,1
112518,0xFD,0xFF,1
112886,0xBF,0xFF,1
115754,0xBF,0xFF,1
116231,0xFD,0xFF,1
116267,0xDF,0xFF,1
116978,0xFB,0xFF,1
118531,0x7F,0xFF,1
118711,0xFE,0xFF,1
119312,0xFB,0xFF,1
119423,0xF7,0xFF,1
119583,0xEF,0xFF,1
122155,0xFD,0xFF,1
122420,0xEF,0xFF,1
123196,0x7F,0xFF,1
123538,0xFE,0xFF,1
123578,0xDF,0xFF,1
123852,0xFB,0xFF,1
123858,0xBF,0xFF,1
124080,0xBF,0xFF,1
124264,0x7F,0xFF,1
124966,0xBF,0xFF,1
125381,0xFE,0xFF,1
126956,0xBF,0xFF,1
128642,0x7F,0xFF,1
128749,0xEF,0xFF,1
128873,0xFD,0xFF,1
128904,0xFB,0xFF,1
129624,0xDF,0xFF,1
130718,0xBF,0xFF,1
1583,0x04,0x00,2
1919,0x40,0x00,2
2337,0x20,0x00,2
2341,0x02,0x00,2
2937,0x02,0x00,2
3123,0x20,0x00,2
4697,0x80,0x00,2
4849,0x20,0x00,2
5167,0x80,0x00,2
6126,0x01,0x00,2
6320,0x02,0x00,2
6677,0x02,0x00,2
11595,0x08,0x00,2
13868,0x40,0x00,2
15239,0x04,0x00,2
18171,0x40,0x00,2
19534,0x04,0x00,2
20273,0x08,0x00,2
