Address, Content,Pattern,Round
480,81,85,1
1954,69,85,1
5686,84,85,1
6074,81,85,1
6498,84,85,1
8056,69,85,1
14008,117,85,1
14842,213,85,1
17928,93,85,1
21146,69,85,1
24916,81,85,1
33602,117,85,1
38718,84,85,1
43432,117,85,1
48108,81,85,1
48686,84,85,1
55146,81,85,1
58674,81,85,1
62128,21,85,1
77732,81,85,1
84256,84,85,1
91976,69,85,1
98922,81,85,1
108398,69,85,1
124524,84,85,1
125552,93,85,1
127790,69,85,1
129386,93,85,1
130868,84,85,1
131278,69,85,1
134802,84,85,1
139092,213,85,1
142512,81,85,1
143892,213,85,1
144294,21,85,1
145260,84,85,1
146084,93,85,1
148594,84,85,1
149384,213,85,1
151850,84,85,1
152616,21,85,1
156114,69,85,1
156692,84,85,1
159316,81,85,1
162320,81,85,1
163180,213,85,1
163696,81,85,1
167604,213,85,1
167858,93,85,1
168906,93,85,1
169744,117,85,1
170690,93,85,1
170904,81,85,1
170946,93,85,1
176680,21,85,1
179218,81,85,1
180152,213,85,1
185894,213,85,1
187920,69,85,1
188498,213,85,1
195322,213,85,1
195676,21,85,1
196044,93,85,1
196218,213,85,1
196474,213,85,1
196890,69,85,1
197334,117,85,1
198032,21,85,1
199956,69,85,1
200136,69,85,1
201018,21,85,1
207974,213,85,1
208972,21,85,1
209110,213,85,1
209784,21,85,1
209804,21,85,1
216690,93,85,1
216946,93,85,1
220212,21,85,1
222696,21,85,1
223782,21,85,1
224808,117,85,1
225064,117,85,1
225412,69,85,1
225948,21,85,1
229268,117,85,1
230038,213,85,1
234714,93,85,1
236642,213,85,1
237846,21,85,1
241360,69,85,1
243308,21,85,1
244744,84,85,1
245406,213,85,1
245662,213,85,1
246330,117,85,1
252632,93,85,1
252732,84,85,1
252888,93,85,1
253320,84,85,1
255578,84,85,1
255610,93,85,1
259330,93,85,1
260256,84,85,1
261376,213,85,1
262760,81,85,1
264892,84,85,1
266670,84,85,1
278216,117,85,1
282352,213,85,1
282608,213,85,1
283644,69,85,1
284500,69,85,1
289604,21,85,1
290090,117,85,1
291756,69,85,1
293762,21,85,1
294886,69,85,1
294890,84,85,1
295250,81,85,1
296902,81,85,1
298184,213,85,1
300914,69,85,1
301488,93,85,1
302850,213,85,1
307418,213,85,1
308332,213,85,1
311020,93,85,1
315782,81,85,1
318406,81,85,1
318674,93,85,1
322794,117,85,1
324200,213,85,1
324548,21,85,1
327550,21,85,1
329508,81,85,1
329642,69,85,1
335096,213,85,1
341062,93,85,1
343852,21,85,1
344358,84,85,1
345036,84,85,1
346846,93,85,1
350102,84,85,1
350866,117,85,1
357232,93,85,1
357934,93,85,1
358586,93,85,1
366786,117,85,1
369476,84,85,1
370566,81,85,1
371358,21,85,1
376290,21,85,1
381208,117,85,1
385604,213,85,1
387532,117,85,1
388428,21,85,1
391638,84,85,1
394520,21,85,1
398008,69,85,1
402194,213,85,1
408506,117,85,1
408872,69,85,1
409418,117,85,1
414030,213,85,1
416886,84,85,1
417998,21,85,1
419394,93,85,1
420090,69,85,1
420758,213,85,1
431764,213,85,1
432020,213,85,1
432806,84,85,1
433578,213,85,1
443230,117,85,1
443362,117,85,1
444384,81,85,1
449812,213,85,1
451804,21,85,1
452274,21,85,1
454160,69,85,1
461106,213,85,1
463956,69,85,1
468218,21,85,1
470888,93,85,1
474180,213,85,1
475636,81,85,1
475804,81,85,1
480324,213,85,1
480514,84,85,1
480944,69,85,1
486124,81,85,1
488944,81,85,1
489114,93,85,1
489370,93,85,1
490386,117,85,1
491290,93,85,1
499988,84,85,1
503730,213,85,1
